english,arabic
sleep,نوم
sleep,ينام
sleeper,نائم
slept,نام
slime,لعاب، سلام
slow,بطيء
slower,أبطأ
slowly,ببطء، ببطء
small,صغير
smallest,الأصغر
smart,حكيم، ذكي
smarter,أذكى
smartwatch,ساعة ذكية
smell,رائحة
smell,يشم
smile,إبتسامة
smile,يبتسم
smooth,ناعم
snack,تسالي، وجبة خفيفة
snake,ثعبان
snow,ثلج
snowboard,لوح التزلج (على الجليد)
snowboarding,التزلج على الجليد
so,إلى هذا الحد، ولذلك، لكي
soccer,كرة القدم
soda,صودا، مياه غازية
softly,بلطف
sold,باع
solve,يحل
some,عدة، بعض
someone,شخص ما
something,شيء ما
something else,شيء آخر
sometimes,أحيانا
somewhere,في مكان ما
son,إبن
song,أغنية
soon,بعد قليل، على الفور، قريبا
sorry,مستاء، نادم
sort,نوع
sound,صوت